Literary name,First name,Last name,Country,Language,Year Born,Year Died
Basho,Matsuo,Basho,Japan,Japanese,1644,1694
Buson,Yosa,Buson,Japan,Japanese,1716,1784
Issa,Kobayashi,Issa,Japan,Japanese,1763,1828
Shiki,Masaoka,Shiki,Japan,Japanese,1867,1902
Antebi,Debbi,Antebi,England,English,,
ash of moth,,,USA,English,,
Edward Dallas,Edward,Dallas,USA,English,,
Marie Derley,Marie,Derley,Belgium,French,,
Bluecrab,Dica ,,USA,English,,
Michel Duflo,Michel,Duflo,France,French,,
Moussia Fantoli ,Moussia,Fantoli,Italy,Italian,,
