Concept,Category
autumn,Season
worm,Insect
chestnut,Plant
twilight,Time period
bramble,Plant
touch,Sense
spider,Insect
fish,Animal
feel,Sense
moonlight,Time period
insect,Insect
snow,Element
child,Human
fly,Insect
love,Feeling
moon,Sky body
wife,Human
mother,Human
bitterness,Taste
dog,Animal
consideration,Feeling
nurse,Profession
scarecrow,Animal
lock,Tool
snail,Animal
worry,Feeling
teenager,Age
flower,Plant
hunger,Feeling
bowl,Food
crying,Emotion
bird,Animal
pepper,Plant
dragon-fly,Insect
butterfly,Insect
perfume,Cosmetics
cricket,Insect
contempt,Emotion
caterpillar,Insect
hair,Body part
loneliness,Feeling
fingerprint,Crime
journey,Travel
flood,Weather
singer,Profession
singer,Art
contempt,Feeling
loneliness,Emotion
singer,Music
snow,Weather
wife,Family
mother,Family
persimmon,Plant
scaring,Emotion
scaring,Feeling
wind,Element
wind,Weather
snow,Weather
sun,Element
sun,Weather
woven grass,Plant
woven grass,Artefact
woven grass,Item
hinge,Artefact
hinge,Item
teenager,Human
rice,Food
killing,Crime
friend,Human
goosebump,Body part
goosebump,Feeling
braille,Language
blindness,Sense
blindness,Body part
goosebump,Sense
ice,Element
ice,Weather
stillness,Movement
snowman,Artefact
snowman,Element
ageing,Age
invisive species,Plant
grey hair,Body part
grey hair,Age
sand castle,Artefact
sand,Element
pocket,Clothing
cat,Animal
garbage,Artefact
track,Artefact
track,Item
year,Time period
emptiness,Sense
emptiness,Feeling
motorcycle,Artefact
motorcycle,Item
footprint,Crime
footprint,Body part
