#,Author,Title,Year,Text,Reference,Passage 1,Passage 2,Connection type,Concept 1,Concept 2,Original text
1,Issa,[even with insects],,"Even with insects—
some can sing,
some can’t.",https://www.poetryfoundation.org/poems/52357/even-with-insects,Even with insects,"some can sing,
some can’t.",Analogy,insect,singer,
2,Basho,[the snow is melting],,"The snow is melting
and the village is flooded
with children.",https://www.poetryfoundation.org/poems/52353/the-snow-is-melting,flooded,"
with children",Analogy,flood,child,
3,Basho,[the snow is melting],,"The snow is melting
and the village is flooded
with children.",https://www.poetryfoundation.org/poems/52353/the-snow-is-melting,snow is melting,"flooded
with children",Analogy,snow,child,
4,Issa,"[relax, flies]",,"I'm going out,
flies, so relax,
make love.",https://mypoeticside.com/show-classic-poem-13911,flies,"relax, make love",Analogy,fly,love,
5,Issa,[what a moon],,"What a moon -
if only my grumbling wife
were here.",http://oaks.nvg.org/issa.html,What a moon,my grumbling wife,Analogy,moon,wife,
6,Issa,[wild persimmons],,"Nice: wild persimmons . . .
and notice how the mother
Eats the bitter parts",http://oaks.nvg.org/issa.html,the mother,Eats the bitter parts,Analogy,mother,bitterness,
7,Issa,[wild persimmons],,"Nice: wild persimmons . . .
and notice how the mother
Eats the bitter parts",http://oaks.nvg.org/issa.html,wild persimmons,the mother,Analogy,persimmon,mother,
8,Issa,[considerate dogs],,"Considerate dogs . . .
stepping off into the snow
As I walk the path",http://oaks.nvg.org/issa.html,Considerate,dogs,Analogy,dog,consideration,
9,Issa,[nursemaid scarecrow],,"A nursemaid scarecrow . . .
frightening the wind and sun
From playing baby",http://oaks.nvg.org/issa.html,nursemaid,scarecrow,Analogy,scarecrow,nurse,
10,Issa,[nursemaid scarecrow],,"A nursemaid scarecrow . . .
frightening the wind and sun
From playing baby",http://oaks.nvg.org/issa.html,frightening,the wind and sun,Analogy,scaring,wind,
11,Issa,[nursemaid scarecrow],,"A nursemaid scarecrow . . .
frightening the wind and sun
From playing baby",http://oaks.nvg.org/issa.html,frightening,the wind and sun,Analogy,scaring,sun,
12,Issa,[gate made of twigs],,"A gate made all of twigs
With woven grass for hinges . . .
For a lock . . . This snail",http://oaks.nvg.org/issa.html,For a lock,This snail,Analogy,snail,lock,
13,Issa,[gate made of twigs],,"A gate made all of twigs
With woven grass for hinges . . .
For a lock . . . This snail",http://oaks.nvg.org/issa.html,With woven grass,for hinges,Analogy,hinge,woven grass,
14,Issa,"[don't worry, spiders]",,"Don't worry, spiders,
I keep house
casually.",https://www.poemhunter.com/kobayashi-issa/,Don't worry,spiders,Analogy,spider,worry,
15,Issa,[face of the spring moon],,"Face of the spring moon--
about twelve years old,
I'd say.",https://hellopoetry.com/poets/kobayashi-issa/,Face of the spring moon,twelve years old,Analogy,moon,teenager,
16,Basho,[for a lovely bowl],,"For a lovely bowl
let us arrange these flowers...
Since there is no rice",http://oaks.nvg.org/basho.html,arrange these flowers,Since there is no rice,Contrast,flower,rice,
